judge,dataset,group,variant,kind,n,signed_delta,ci_lo,ci_hi,mean_abs_delta
phyjudge_9b,test,laws13,shuffle,temporal,450,-0.032820512820512814,-0.06394017094017095,-0.002730769230769252,0.1835897435897436
phyjudge_9b,test,laws13,reverse,temporal,450,-0.007179487179487176,-0.042064102564102555,0.028038461538461512,0.20820512820512824
phyjudge_9b,test,laws13,freeze,temporal,450,-0.03897435897435897,-0.06376495726495725,-0.012474358974358982,0.14666666666666667
phyjudge_9b,test,laws13,photometric,superficial,450,-0.023247863247863244,-0.04341880341880341,-0.003243589743589769,0.11213675213675214
phyjudge_9b,test,laws13,caption_echo_rubric_vocab,superficial,450,0.05931623931623931,0.0305982905982906,0.08547435897435897,0.19743589743589743
phyjudge_9b,test,laws13,caption_echo_score_anchor_positive,superficial,450,0.05589743589743589,0.027854700854700855,0.08256410256410254,0.18444444444444444
phyjudge_9b,test,laws13,caption_echo_authoritative_claim,superficial,450,0.1258119658119658,0.10050854700854701,0.1512905982905983,0.17914529914529914
phyjudge_9b,test,laws13,caption_echo_score_anchor_negative,superficial,450,-0.3367521367521368,-0.3747051282051282,-0.2979444444444445,0.3473504273504273
phyjudge_9b,test,laws13,caption_echo_control_irrelevant,superficial,450,0.03076923076923077,0.006662393162393166,0.0547051282051282,0.1473504273504274
phyjudge_9b,implausibench_real,SA,shuffle,temporal,149,-0.1610738255033557,-0.2483221476510067,-0.0738255033557047,0.2684563758389262
phyjudge_9b,implausibench_real,SA,reverse,temporal,150,-0.18,-0.2733333333333333,-0.08666666666666667,0.3
phyjudge_9b,implausibench_real,SA,freeze,temporal,150,-0.12,-0.18,-0.06,0.16
phyjudge_9b,implausibench_real,SA,photometric,superficial,150,-0.04,-0.08666666666666667,0.006666666666666667,0.09333333333333334
phyjudge_9b,implausibench_real,SA,caption_echo_rubric_vocab,superficial,150,0.3933333333333333,0.2866666666666667,0.5,0.47333333333333333
phyjudge_9b,implausibench_real,SA,caption_echo_score_anchor_positive,superficial,150,0.21333333333333335,0.12666666666666668,0.3,0.28
phyjudge_9b,implausibench_real,SA,caption_echo_authoritative_claim,superficial,150,0.6466666666666666,0.52,0.7668333333333325,0.7666666666666667
phyjudge_9b,implausibench_real,SA,caption_echo_score_anchor_negative,superficial,150,-0.32666666666666666,-0.4066666666666667,-0.25333333333333335,0.32666666666666666
phyjudge_9b,implausibench_real,SA,caption_echo_control_irrelevant,superficial,150,0.02,-0.04,0.08,0.12666666666666668
phyjudge_9b,implausibench_real,PTV,shuffle,temporal,149,-0.19463087248322147,-0.3087248322147651,-0.087248322147651,0.3959731543624161
phyjudge_9b,implausibench_real,PTV,reverse,temporal,150,-0.08666666666666667,-0.2,0.02666666666666667,0.3933333333333333
phyjudge_9b,implausibench_real,PTV,freeze,temporal,150,-0.06,-0.12,0.0,0.14
phyjudge_9b,implausibench_real,PTV,photometric,superficial,150,0.03333333333333333,-0.02,0.08666666666666667,0.12666666666666668
phyjudge_9b,implausibench_real,PTV,caption_echo_rubric_vocab,superficial,150,0.26666666666666666,0.18666666666666668,0.35333333333333333,0.3333333333333333
phyjudge_9b,implausibench_real,PTV,caption_echo_score_anchor_positive,superficial,150,0.2866666666666667,0.20666666666666667,0.37333333333333335,0.32666666666666666
phyjudge_9b,implausibench_real,PTV,caption_echo_authoritative_claim,superficial,150,0.34,0.24,0.44,0.44666666666666666
phyjudge_9b,implausibench_real,PTV,caption_echo_score_anchor_negative,superficial,150,-0.31333333333333335,-0.4,-0.23333333333333334,0.35333333333333333
phyjudge_9b,implausibench_real,PTV,caption_echo_control_irrelevant,superficial,150,0.16666666666666666,0.09333333333333334,0.24016666666666575,0.22
phyjudge_9b,implausibench_real,laws13,shuffle,temporal,149,-0.11461022199277231,-0.17811048012390293,-0.05420753742901393,0.22922044398554461
phyjudge_9b,implausibench_real,laws13,reverse,temporal,150,-0.10871794871794871,-0.18821794871794867,-0.036410256410256414,0.26666666666666666
phyjudge_9b,implausibench_real,laws13,freeze,temporal,150,-0.05589743589743589,-0.0876923076923077,-0.025115384615384668,0.12051282051282049
phyjudge_9b,implausibench_real,laws13,photometric,superficial,150,0.010256410256410253,-0.022564102564102576,0.04358974358974357,0.10871794871794874
phyjudge_9b,implausibench_real,laws13,caption_echo_rubric_vocab,superficial,150,0.10256410256410256,0.05538461538461538,0.1528205128205128,0.20307692307692304
phyjudge_9b,implausibench_real,laws13,caption_echo_score_anchor_positive,superficial,150,0.1805128205128205,0.12769230769230766,0.23693589743589738,0.23897435897435892
phyjudge_9b,implausibench_real,laws13,caption_echo_authoritative_claim,superficial,150,0.17897435897435895,0.12819230769230766,0.23384615384615387,0.26205128205128203
phyjudge_9b,implausibench_real,laws13,caption_echo_score_anchor_negative,superficial,150,-0.3046153846153846,-0.3579487179487179,-0.25383333333333347,0.31179487179487175
phyjudge_9b,implausibench_real,laws13,caption_echo_control_irrelevant,superficial,150,0.08410256410256411,0.04923076923076923,0.12153846153846155,0.14871794871794872
phyjudge_9b,implausibench_implausible,SA,shuffle,temporal,150,0.0,-0.09333333333333334,0.09333333333333334,0.32
phyjudge_9b,implausibench_implausible,SA,reverse,temporal,150,0.20666666666666667,0.08666666666666667,0.32666666666666666,0.5133333333333333
phyjudge_9b,implausibench_implausible,SA,freeze,temporal,150,0.0,-0.08,0.07333333333333333,0.22666666666666666
phyjudge_9b,implausibench_implausible,SA,photometric,superficial,150,0.013333333333333334,-0.05349999999999999,0.08016666666666576,0.2
phyjudge_9b,implausibench_implausible,SA,caption_echo_rubric_vocab,superficial,150,0.26,0.15333333333333332,0.36666666666666664,0.4866666666666667
phyjudge_9b,implausibench_implausible,SA,caption_echo_score_anchor_positive,superficial,150,0.16,0.06,0.26666666666666666,0.38666666666666666
phyjudge_9b,implausibench_implausible,SA,caption_echo_authoritative_claim,superficial,150,0.37333333333333335,0.25333333333333335,0.4866666666666667,0.56
phyjudge_9b,implausibench_implausible,SA,caption_echo_score_anchor_negative,superficial,150,-0.30666666666666664,-0.41333333333333333,-0.20666666666666667,0.44
phyjudge_9b,implausibench_implausible,SA,caption_echo_control_irrelevant,superficial,150,0.06666666666666667,-0.013333333333333334,0.14666666666666667,0.24
phyjudge_9b,implausibench_implausible,PTV,shuffle,temporal,150,-0.14,-0.25333333333333335,-0.013333333333333334,0.4866666666666667
phyjudge_9b,implausibench_implausible,PTV,reverse,temporal,150,0.1,-0.03333333333333333,0.23333333333333334,0.54
phyjudge_9b,implausibench_implausible,PTV,freeze,temporal,150,-0.13333333333333333,-0.24,-0.03316666666666757,0.38666666666666666
phyjudge_9b,implausibench_implausible,PTV,photometric,superficial,150,-0.05333333333333334,-0.13333333333333333,0.02666666666666667,0.22666666666666666
phyjudge_9b,implausibench_implausible,PTV,caption_echo_rubric_vocab,superficial,150,0.06,-0.04666666666666667,0.16666666666666666,0.3933333333333333
phyjudge_9b,implausibench_implausible,PTV,caption_echo_score_anchor_positive,superficial,150,0.08,-0.013499999999999991,0.18,0.36
phyjudge_9b,implausibench_implausible,PTV,caption_echo_authoritative_claim,superficial,150,0.16,0.05333333333333334,0.2733333333333333,0.44
phyjudge_9b,implausibench_implausible,PTV,caption_echo_score_anchor_negative,superficial,150,-0.4066666666666667,-0.5133333333333333,-0.3,0.5266666666666666
phyjudge_9b,implausibench_implausible,PTV,caption_echo_control_irrelevant,superficial,150,0.06,-0.02666666666666667,0.15333333333333332,0.2733333333333333
phyjudge_9b,implausibench_implausible,laws13,shuffle,temporal,150,-0.0917948717948718,-0.18,0.0,0.37897435897435894
phyjudge_9b,implausibench_implausible,laws13,reverse,temporal,150,0.11230769230769233,0.011782051282051297,0.22256410256410258,0.4261538461538461
phyjudge_9b,implausibench_implausible,laws13,freeze,temporal,150,-0.09384615384615383,-0.16053846153846152,-0.028705128205128255,0.2456410256410256
phyjudge_9b,implausibench_implausible,laws13,photometric,superficial,150,-0.051794871794871786,-0.1051282051282051,-0.0030641025641026144,0.18717948717948718
phyjudge_9b,implausibench_implausible,laws13,caption_echo_rubric_vocab,superficial,150,0.03384615384615383,-0.036923076923076927,0.10820512820512818,0.3056410256410256
phyjudge_9b,implausibench_implausible,laws13,caption_echo_score_anchor_positive,superficial,150,0.008717948717948723,-0.06411538461538462,0.08461538461538459,0.3030769230769231
phyjudge_9b,implausibench_implausible,laws13,caption_echo_authoritative_claim,superficial,150,0.10974358974358973,0.0399871794871795,0.17949999999999994,0.3046153846153846
phyjudge_9b,implausibench_implausible,laws13,caption_echo_score_anchor_negative,superficial,150,-0.38666666666666666,-0.4697692307692307,-0.3102307692307693,0.4533333333333333
phyjudge_9b,implausibench_implausible,laws13,caption_echo_control_irrelevant,superficial,150,0.04717948717948719,-0.012307692307692296,0.1082051282051282,0.2256410256410256
vila_ewm,test,instruction,shuffle,temporal,450,0.04666666666666667,-0.017777777777777778,0.11555555555555555,0.38
vila_ewm,test,instruction,reverse,temporal,450,-0.07333333333333333,-0.14,-0.011111111111111112,0.3622222222222222
vila_ewm,test,instruction,freeze,temporal,450,0.028888888888888888,-0.013333333333333334,0.06888888888888889,0.1711111111111111
vila_ewm,test,instruction,photometric,superficial,450,0.0022222222222222222,-0.035555555555555556,0.04,0.14888888888888888
vila_ewm,test,instruction,caption_echo_rubric_vocab,superficial,450,-0.05555555555555555,-0.11333333333333333,0.0044444444444444444,0.31333333333333335
vila_ewm,test,instruction,caption_echo_score_anchor_positive,superficial,450,0.0,-0.051111111111111114,0.05333333333333334,0.26666666666666666
vila_ewm,test,instruction,caption_echo_authoritative_claim,superficial,450,0.006666666666666667,-0.05333333333333334,0.06666666666666667,0.32666666666666666
vila_ewm,test,instruction,caption_echo_score_anchor_negative,superficial,450,-0.024444444444444446,-0.07777777777777778,0.028888888888888888,0.2644444444444444
vila_ewm,test,instruction,caption_echo_control_irrelevant,superficial,450,0.15333333333333332,0.09111111111111111,0.21555555555555556,0.3488888888888889
vila_ewm,test,physical_laws_bool,shuffle,temporal,450,0.02666666666666667,0.014666666666666665,0.03955555555555556,0.06933333333333333
vila_ewm,test,physical_laws_bool,reverse,temporal,450,-0.007555555555555557,-0.018666666666666665,0.0035555555555555553,0.06177777777777778
vila_ewm,test,physical_laws_bool,freeze,temporal,450,0.004444444444444444,-0.003111111111111111,0.011999999999999997,0.029333333333333336
vila_ewm,test,physical_laws_bool,photometric,superficial,450,-0.005777777777777779,-0.012444444444444445,0.001333333333333333,0.02622222222222222
vila_ewm,test,physical_laws_bool,caption_echo_rubric_vocab,superficial,450,0.017777777777777774,0.007555555555555554,0.02711111111111111,0.05422222222222222
vila_ewm,test,physical_laws_bool,caption_echo_score_anchor_positive,superficial,450,0.02666666666666667,0.017333333333333336,0.036,0.047111111111111104
vila_ewm,test,physical_laws_bool,caption_echo_authoritative_claim,superficial,450,0.010666666666666665,0.0004444444444444426,0.020888888888888887,0.050666666666666665
vila_ewm,test,physical_laws_bool,caption_echo_score_anchor_negative,superficial,450,0.022222222222222223,0.013777777777777776,0.03155555555555555,0.04533333333333333
vila_ewm,test,physical_laws_bool,caption_echo_control_irrelevant,superficial,450,0.05466666666666667,0.044000000000000004,0.0648888888888889,0.06799999999999999
vila_ewm,test,common_sense_bool,shuffle,temporal,450,0.03,0.01,0.051111111111111114,0.09666666666666666
vila_ewm,test,common_sense_bool,reverse,temporal,450,-0.028888888888888888,-0.04777777777777778,-0.008888888888888889,0.08666666666666667
vila_ewm,test,common_sense_bool,freeze,temporal,450,-0.0077777777777777776,-0.02225,0.006666666666666667,0.052222222222222225
vila_ewm,test,common_sense_bool,photometric,superficial,450,-0.008888888888888889,-0.022222222222222223,0.0044444444444444444,0.035555555555555556
vila_ewm,test,common_sense_bool,caption_echo_rubric_vocab,superficial,450,0.051111111111111114,0.03222222222222222,0.07,0.08
vila_ewm,test,common_sense_bool,caption_echo_score_anchor_positive,superficial,450,0.017777777777777778,0.0,0.035555555555555556,0.07333333333333333
vila_ewm,test,common_sense_bool,caption_echo_authoritative_claim,superficial,450,0.02,0.0022222222222222222,0.03777777777777778,0.07333333333333333
vila_ewm,test,common_sense_bool,caption_echo_score_anchor_negative,superficial,450,0.021111111111111112,0.0022222222222222222,0.04,0.0811111111111111
vila_ewm,test,common_sense_bool,caption_echo_control_irrelevant,superficial,450,0.08222222222222222,0.06222222222222222,0.10333333333333333,0.1
vila_ewm,implausibench_real,instruction,shuffle,temporal,149,0.0738255033557047,-0.0738255033557047,0.21493288590603934,0.5033557046979866
vila_ewm,implausibench_real,instruction,reverse,temporal,150,0.05333333333333334,-0.08,0.2,0.44
vila_ewm,implausibench_real,instruction,freeze,temporal,150,-0.02666666666666667,-0.1,0.04,0.13333333333333333
vila_ewm,implausibench_real,instruction,photometric,superficial,150,-0.04666666666666667,-0.12666666666666668,0.02666666666666667,0.14
vila_ewm,implausibench_real,instruction,caption_echo_rubric_vocab,superficial,150,1.0066666666666666,0.8333333333333334,1.1866666666666668,1.1133333333333333
vila_ewm,implausibench_real,instruction,caption_echo_score_anchor_positive,superficial,150,-0.32666666666666666,-0.4533333333333333,-0.19333333333333333,0.42
vila_ewm,implausibench_real,instruction,caption_echo_authoritative_claim,superficial,150,-0.2733333333333333,-0.41333333333333333,-0.14,0.5133333333333333
vila_ewm,implausibench_real,instruction,caption_echo_score_anchor_negative,superficial,150,-0.36666666666666664,-0.49333333333333335,-0.2465000000000009,0.43333333333333335
vila_ewm,implausibench_real,instruction,caption_echo_control_irrelevant,superficial,150,-0.26666666666666666,-0.4,-0.12666666666666668,0.49333333333333335
vila_ewm,implausibench_real,physical_laws_bool,shuffle,temporal,149,0.013422818791946305,0.0,0.028187919463087244,0.0348993288590604
vila_ewm,implausibench_real,physical_laws_bool,reverse,temporal,150,0.007999999999999998,-0.006666666666666666,0.023999999999999997,0.034666666666666665
vila_ewm,implausibench_real,physical_laws_bool,freeze,temporal,150,-2.220446049250313e-18,-0.008000000000000002,0.007999999999999998,0.013333333333333334
vila_ewm,implausibench_real,physical_laws_bool,photometric,superficial,150,0.006666666666666665,-0.0026666666666666683,0.016,0.017333333333333333
vila_ewm,implausibench_real,physical_laws_bool,caption_echo_rubric_vocab,superficial,150,0.007999999999999998,-0.005333333333333335,0.022666666666666665,0.031999999999999994
vila_ewm,implausibench_real,physical_laws_bool,caption_echo_score_anchor_positive,superficial,150,0.01333333333333333,0.00133333333333333,0.026666666666666665,0.026666666666666665
vila_ewm,implausibench_real,physical_laws_bool,caption_echo_authoritative_claim,superficial,150,0.00933333333333333,-0.004000000000000002,0.023999999999999997,0.03333333333333333
vila_ewm,implausibench_real,physical_laws_bool,caption_echo_score_anchor_negative,superficial,150,0.01333333333333333,0.0013333333333333316,0.026666666666666665,0.026666666666666665
vila_ewm,implausibench_real,physical_laws_bool,caption_echo_control_irrelevant,superficial,150,0.023999999999999994,0.011999999999999995,0.036,0.029333333333333322
vila_ewm,implausibench_real,common_sense_bool,shuffle,temporal,149,0.016778523489932886,-0.016778523489932886,0.050335570469798654,0.07046979865771812
vila_ewm,implausibench_real,common_sense_bool,reverse,temporal,150,0.006666666666666667,-0.02,0.03333333333333333,0.05333333333333334
vila_ewm,implausibench_real,common_sense_bool,freeze,temporal,150,0.0033333333333333335,-0.013333333333333334,0.02,0.023333333333333334
vila_ewm,implausibench_real,common_sense_bool,photometric,superficial,150,-0.01,-0.023333333333333334,0.0,0.01
vila_ewm,implausibench_real,common_sense_bool,caption_echo_rubric_vocab,superficial,150,-0.01,-0.03333333333333333,0.01,0.03666666666666667
vila_ewm,implausibench_real,common_sense_bool,caption_echo_score_anchor_positive,superficial,150,0.0033333333333333335,-0.013333333333333334,0.02,0.023333333333333334
vila_ewm,implausibench_real,common_sense_bool,caption_echo_authoritative_claim,superficial,150,0.0033333333333333335,-0.016666666666666666,0.023333333333333334,0.03
vila_ewm,implausibench_real,common_sense_bool,caption_echo_score_anchor_negative,superficial,150,0.013333333333333334,-0.006666666666666667,0.03333333333333333,0.03333333333333333
vila_ewm,implausibench_real,common_sense_bool,caption_echo_control_irrelevant,superficial,150,0.03,0.013333333333333334,0.05,0.03
vila_ewm,implausibench_implausible,instruction,shuffle,temporal,150,0.22666666666666666,0.07333333333333333,0.38,0.5733333333333334
vila_ewm,implausibench_implausible,instruction,reverse,temporal,150,0.14666666666666667,0.0,0.3,0.56
vila_ewm,implausibench_implausible,instruction,freeze,temporal,150,0.08,-0.02,0.18666666666666668,0.26666666666666666
vila_ewm,implausibench_implausible,instruction,photometric,superficial,150,0.04,-0.04666666666666667,0.12666666666666668,0.2
vila_ewm,implausibench_implausible,instruction,caption_echo_rubric_vocab,superficial,150,0.9266666666666666,0.7533333333333333,1.1066666666666667,1.1133333333333333
vila_ewm,implausibench_implausible,instruction,caption_echo_score_anchor_positive,superficial,150,-0.16,-0.28,-0.04666666666666667,0.36
vila_ewm,implausibench_implausible,instruction,caption_echo_authoritative_claim,superficial,150,-0.25333333333333335,-0.38666666666666666,-0.12666666666666668,0.5066666666666667
vila_ewm,implausibench_implausible,instruction,caption_echo_score_anchor_negative,superficial,150,-0.16666666666666666,-0.2866666666666667,-0.05316666666666758,0.35333333333333333
vila_ewm,implausibench_implausible,instruction,caption_echo_control_irrelevant,superficial,150,-0.1,-0.24666666666666667,0.03349999999999909,0.47333333333333333
vila_ewm,implausibench_implausible,physical_laws_bool,shuffle,temporal,150,0.024000000000000004,0.0013333333333333383,0.04666666666666667,0.07733333333333332
vila_ewm,implausibench_implausible,physical_laws_bool,reverse,temporal,150,-0.001333333333333333,-0.023999999999999997,0.02136666666666649,0.08133333333333333
vila_ewm,implausibench_implausible,physical_laws_bool,freeze,temporal,150,-0.019999999999999997,-0.03733333333333332,-0.003999999999999998,0.044
vila_ewm,implausibench_implausible,physical_laws_bool,photometric,superficial,150,-0.04133333333333333,-0.06,-0.02266666666666667,0.04933333333333333
vila_ewm,implausibench_implausible,physical_laws_bool,caption_echo_rubric_vocab,superficial,150,-0.008000000000000004,-0.026666666666666672,0.010666666666666665,0.05866666666666667
vila_ewm,implausibench_implausible,physical_laws_bool,caption_echo_score_anchor_positive,superficial,150,-0.0026666666666666674,-0.023999999999999997,0.016033333333333157,0.056
vila_ewm,implausibench_implausible,physical_laws_bool,caption_echo_authoritative_claim,superficial,150,-0.005333333333333336,-0.02666666666666667,0.013366666666666483,0.06133333333333333
vila_ewm,implausibench_implausible,physical_laws_bool,caption_echo_score_anchor_negative,superficial,150,0.009333333333333336,-0.008000000000000002,0.028,0.05733333333333333
vila_ewm,implausibench_implausible,physical_laws_bool,caption_echo_control_irrelevant,superficial,150,0.03733333333333333,0.017333333333333333,0.05733333333333333,0.06933333333333333
vila_ewm,implausibench_implausible,common_sense_bool,shuffle,temporal,150,0.04,0.0,0.08,0.12
vila_ewm,implausibench_implausible,common_sense_bool,reverse,temporal,150,-0.01,-0.05333333333333334,0.03333333333333333,0.13
vila_ewm,implausibench_implausible,common_sense_bool,freeze,temporal,150,-0.02666666666666667,-0.06333333333333334,0.006666666666666667,0.08666666666666667
vila_ewm,implausibench_implausible,common_sense_bool,photometric,superficial,150,-0.04,-0.07,-0.013333333333333334,0.06666666666666667
vila_ewm,implausibench_implausible,common_sense_bool,caption_echo_rubric_vocab,superficial,150,0.043333333333333335,0.0033333333333333335,0.08333333333333333,0.10333333333333333
vila_ewm,implausibench_implausible,common_sense_bool,caption_echo_score_anchor_positive,superficial,150,-0.0033333333333333335,-0.04,0.03333333333333333,0.09
vila_ewm,implausibench_implausible,common_sense_bool,caption_echo_authoritative_claim,superficial,150,0.02,-0.013333333333333334,0.06,0.09333333333333334
vila_ewm,implausibench_implausible,common_sense_bool,caption_echo_score_anchor_negative,superficial,150,0.0,-0.043333333333333335,0.04,0.10666666666666667
vila_ewm,implausibench_implausible,common_sense_bool,caption_echo_control_irrelevant,superficial,150,0.1,0.06,0.1400833333333329,0.12
videophy2_auto,test,SA,shuffle,temporal,450,0.06444444444444444,0.03777777777777778,0.09333333333333334,0.10888888888888888
videophy2_auto,test,SA,reverse,temporal,450,0.0044444444444444444,-0.013333333333333334,0.024444444444444446,0.04
videophy2_auto,test,SA,freeze,temporal,450,-0.028888888888888888,-0.05555555555555555,-0.004388888888889192,0.07777777777777778
videophy2_auto,test,SA,photometric,superficial,450,0.006666666666666667,-0.015555555555555555,0.028888888888888888,0.05555555555555555
videophy2_auto,test,SA,caption_echo_rubric_vocab,superficial,450,-0.08,-0.12,-0.04,0.18222222222222223
videophy2_auto,test,SA,caption_echo_score_anchor_positive,superficial,450,-0.14888888888888888,-0.18888888888888888,-0.1111111111111111,0.20666666666666667
videophy2_auto,test,SA,caption_echo_authoritative_claim,superficial,450,-0.15555555555555556,-0.19777777777777777,-0.11333333333333333,0.23555555555555555
videophy2_auto,test,SA,caption_echo_score_anchor_negative,superficial,450,-0.1622222222222222,-0.20444444444444446,-0.12222222222222222,0.23333333333333334
videophy2_auto,test,SA,caption_echo_control_irrelevant,superficial,450,-0.19333333333333333,-0.23777777777777778,-0.14666666666666667,0.2644444444444444
videophy2_auto,test,PC,shuffle,temporal,450,-0.03111111111111111,-0.06444444444444444,0.0022222222222222222,0.14222222222222222
videophy2_auto,test,PC,reverse,temporal,450,0.013333333333333334,-0.011111111111111112,0.03777777777777778,0.07111111111111111
videophy2_auto,test,PC,freeze,temporal,450,0.04888888888888889,0.017777777777777778,0.08222222222222222,0.12
videophy2_auto,test,PC,photometric,superficial,450,0.006666666666666667,-0.017777777777777778,0.03111111111111111,0.07333333333333333
videophy2_auto,test,PC,caption_echo_rubric_vocab,superficial,450,0.2911111111111111,0.24666666666666667,0.3377777777777778,0.32666666666666666
videophy2_auto,test,PC,caption_echo_score_anchor_positive,superficial,450,0.2644444444444444,0.21777777777777776,0.3088888888888889,0.31777777777777777
videophy2_auto,test,PC,caption_echo_authoritative_claim,superficial,450,0.3711111111111111,0.32222222222222224,0.42,0.3977777777777778
videophy2_auto,test,PC,caption_echo_score_anchor_negative,superficial,450,0.22,0.17777777777777778,0.2644444444444444,0.2688888888888889
videophy2_auto,test,PC,caption_echo_control_irrelevant,superficial,450,0.3422222222222222,0.28888888888888886,0.39555555555555555,0.39555555555555555
videophy2_auto,implausibench_real,SA,shuffle,temporal,149,-0.04697986577181208,-0.09395973154362416,0.0,0.087248322147651
videophy2_auto,implausibench_real,SA,reverse,temporal,150,-0.04666666666666667,-0.08666666666666667,-0.013333333333333334,0.06
videophy2_auto,implausibench_real,SA,freeze,temporal,150,0.04666666666666667,0.0,0.09333333333333334,0.08666666666666667
videophy2_auto,implausibench_real,SA,photometric,superficial,150,-0.03333333333333333,-0.07333333333333333,0.006666666666666667,0.06
videophy2_auto,implausibench_real,SA,caption_echo_rubric_vocab,superficial,150,0.21333333333333335,0.14,0.29333333333333333,0.26666666666666666
videophy2_auto,implausibench_real,SA,caption_echo_score_anchor_positive,superficial,150,0.02,-0.04666666666666667,0.08666666666666667,0.19333333333333333
videophy2_auto,implausibench_real,SA,caption_echo_authoritative_claim,superficial,150,0.24,0.15333333333333332,0.32666666666666666,0.32
videophy2_auto,implausibench_real,SA,caption_echo_score_anchor_negative,superficial,150,-0.013333333333333334,-0.08666666666666667,0.06666666666666667,0.22666666666666666
videophy2_auto,implausibench_real,SA,caption_echo_control_irrelevant,superficial,150,0.006666666666666667,-0.06666666666666667,0.07333333333333333,0.20666666666666667
videophy2_auto,implausibench_real,PC,shuffle,temporal,149,-0.013422818791946308,-0.06711409395973154,0.040268456375838924,0.12080536912751678
videophy2_auto,implausibench_real,PC,reverse,temporal,150,-0.006666666666666667,-0.05333333333333334,0.03333333333333333,0.06
videophy2_auto,implausibench_real,PC,freeze,temporal,150,0.05333333333333334,0.0,0.10666666666666667,0.10666666666666667
videophy2_auto,implausibench_real,PC,photometric,superficial,150,-0.006666666666666667,-0.06,0.04666666666666667,0.11333333333333333
videophy2_auto,implausibench_real,PC,caption_echo_rubric_vocab,superficial,150,0.19333333333333333,0.11333333333333333,0.28,0.2866666666666667
videophy2_auto,implausibench_real,PC,caption_echo_score_anchor_positive,superficial,150,0.26,0.18,0.3466666666666667,0.34
videophy2_auto,implausibench_real,PC,caption_echo_authoritative_claim,superficial,150,0.18666666666666668,0.1,0.2733333333333333,0.3466666666666667
videophy2_auto,implausibench_real,PC,caption_echo_score_anchor_negative,superficial,150,0.18,0.1,0.26016666666666577,0.26
videophy2_auto,implausibench_real,PC,caption_echo_control_irrelevant,superficial,150,0.22666666666666666,0.13983333333333337,0.32,0.3333333333333333
videophy2_auto,implausibench_implausible,SA,shuffle,temporal,150,-0.04666666666666667,-0.09333333333333334,-0.006666666666666667,0.07333333333333333
videophy2_auto,implausibench_implausible,SA,reverse,temporal,150,0.013333333333333334,-0.02,0.05333333333333334,0.05333333333333334
videophy2_auto,implausibench_implausible,SA,freeze,temporal,150,0.07333333333333333,0.02,0.12666666666666668,0.11333333333333333
videophy2_auto,implausibench_implausible,SA,photometric,superficial,150,0.006666666666666667,-0.03333333333333333,0.04666666666666667,0.06
videophy2_auto,implausibench_implausible,SA,caption_echo_rubric_vocab,superficial,150,0.3466666666666667,0.2733333333333333,0.42,0.36
videophy2_auto,implausibench_implausible,SA,caption_echo_score_anchor_positive,superficial,150,0.03333333333333333,-0.02666666666666667,0.09333333333333334,0.14
